Title,Company,Location,Job_type,Job_url,Salary,Work Location,Date Posted,Current Date,Job_id
"Analytical Scientist (HPLC, UV Spectroscopy) / Pharma Industry",Pioneer Data Systems Inc,"Peapack, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J330YH6NQJTBKN1HNY9,,On-site,2024-01-26,2024-02-02,J330YH6NQJTBKN1HNY9
Chemistry Lab Operations Scientist II / Pharma Industry,Pioneer Data Systems Inc,"Malvern, PA (Onsite)",Contractor,https://www.careerbuilder.com/job/J2Z0W06T4RYM3VW0XQ5,,On-site,2024-01-13,2024-02-02,J2Z0W06T4RYM3VW0XQ5
Lead Data Bricks Engineer,Trinity Technology Solutions,"New York, NY (Onsite)",Contractor,https://www.careerbuilder.com/job/J4R0V372SJHS245WSRV,,On-site,2024-01-23,2024-02-02,J4R0V372SJHS245WSRV
Lead Data Bricks Engineer,Trinity Technology Solutions,"Woodbridge Township, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J2P6MN6CRD0NYY27WGC,,On-site,2024-01-23,2024-02-02,J2P6MN6CRD0NYY27WGC
Lead Data Bricks Engineer,Trinity Technology Solutions,"Woodbridge Township, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P3Y96VYBWRV4FH3GS,,On-site,2024-01-23,2024-02-02,J3P3Y96VYBWRV4FH3GS
Associate Scientist I,Spectraforce Technologies Inc,"North Chicago, IL (Onsite)",Contractor,https://www.careerbuilder.com/job/J2P88X6V72ZLN26W9GS,$25.00 - $26.00/Hour,On-site,2024-01-21,2024-02-02,J2P88X6V72ZLN26W9GS
Research Associate,Spectraforce Technologies Inc,"Westborough, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/JD92KZ5VNLRMBQR56G5,$33.00 - $35.00/Hour,On-site,2024-01-20,2024-02-02,JD92KZ5VNLRMBQR56G5
Scientist II,Spectraforce Technologies Inc,"Ridgefield, CT (Onsite)",Contractor,https://www.careerbuilder.com/job/J2N6D963TWKZDWTNVPY,$38.00 - $40.00/Hour,On-site,2024-01-20,2024-02-02,J2N6D963TWKZDWTNVPY
Scientist II - Cell/PCR and Sample Prep,Yoh,"Austin, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V3Z26L9479MWGMWFC,$30.00 - $35.00/Hour,On-site,2024-01-19,2024-02-02,J3V3Z26L9479MWGMWFC
Principal Stability Scientist,Yoh,"Devens, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P4HZ73FP9B0NPHV3L,$70.00 - $79.00/Hour,On-site,2024-01-19,2024-02-02,J3P4HZ73FP9B0NPHV3L
Reagents Manufacturing Scientist,Yoh,"Florence, KY (Onsite)",Contractor,https://www.careerbuilder.com/job/J3N5755YW2XQFB1S3CM,$40.00/Hour,On-site,2024-01-16,2024-02-02,J3N5755YW2XQFB1S3CM
Laboratory Technician,Rose International,"Chesterfield, MO (Onsite)",Contractor,https://www.careerbuilder.com/job/JDD3YW5VMDL54SK1P52,$20.50/Hour,On-site,2024-01-18,2024-02-02,JDD3YW5VMDL54SK1P52
Quality Control Lab Tech,Rose International,"Newark, DE (Onsite)",Contractor,https://www.careerbuilder.com/job/JDD66D6MSXKLDWBVF6Y,$27.00 - $30.00/Hour,On-site,2024-01-17,2024-02-02,JDD66D6MSXKLDWBVF6Y
Scientist,"Pyramid Consulting, Inc","Raritan, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J2R0F95YQBK23V5KVFS,$40.00 - $45.00/Hour,On-site,2024-01-17,2024-02-02,J2R0F95YQBK23V5KVFS
Bio-Analytical Scientist,"Pyramid Consulting, Inc","Warren, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/JD61M167ZQCCTQNYH74,$32.00 - $38.00/Hour,On-site,2024-01-17,2024-02-02,JD61M167ZQCCTQNYH74
Associate Research Scientist,"Pyramid Consulting, Inc","Brisbane, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J2V7BN6M1DKW91TQPMQ,$48.00 - $52.45/Hour,On-site,2024-01-16,2024-02-02,J2V7BN6M1DKW91TQPMQ
Manufacturing Engineer,Nesco Resource,"Archbald, PA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R2JD797SVR5C03T53,$43.50/Hour,On-site,2024-01-17,2024-02-02,J3R2JD797SVR5C03T53
"Scientist (I, II, Sr.)",Nesco Resource,"Pleasanton, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3M7646HVB2Q76YXWFX,$30.00 - $53.00/Hour,On-site,2024-01-16,2024-02-02,J3M7646HVB2Q76YXWFX
Research Scientist,Lancesoft Inc.,"Trenton, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/JCM1B471KHYXKLVT32T,$30.00 - $45.00/Hour,On-site,2024-01-11,2024-02-02,JCM1B471KHYXKLVT32T
Laboratory Technician (Life Sciences),Lancesoft Inc.,"Blair, NE (Onsite)",Contractor,https://www.careerbuilder.com/job/J2R60Y771Y52N7MFH7B,$20.00 - $25.00/Hour,On-site,2024-01-10,2024-02-02,J2R60Y771Y52N7MFH7B
Machine Engineer/ML Engineer III (US - Contract),Lancesoft Inc.,"Chicago, IL (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P3NC6S2Y0CP6B2P4C,,On-site,2024-01-27,2024-02-02,J3P3NC6S2Y0CP6B2P4C
Azure Data Engineer,Dexian - DISYS,"Meridian, ID (Onsite)",Contractor,https://www.careerbuilder.com/job/J3M4P576W0DYDFMY83P,$45.00 - $60.00/Hour,On-site,2024-02-02,2024-02-02,J3M4P576W0DYDFMY83P
Senior SDET,Dexian - DISYS,"Austin, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R4BC5WZ475STDLL8T,,On-site,2024-01-25,2024-02-02,J3R4BC5WZ475STDLL8T
SDET,Dexian - DISYS,"Santa Monica, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q22N6LD78ZT92X4VD,,On-site,2024-01-23,2024-02-02,J3Q22N6LD78ZT92X4VD
HWIL S/W Engineer - (Secret Clearance),Nesco Resource,"Andover, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q5ST5XNS7DVVQ9W6F,$80.00 - $100.00/Hour,On-site,2024-02-02,2024-02-02,J3Q5ST5XNS7DVVQ9W6F
Embedded S/W Engineer,Nesco Resource,"Grand Prairie, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3M7NL6W8MGH0F5270Y,$92.00/Hour,On-site,2024-02-02,2024-02-02,J3M7NL6W8MGH0F5270Y
Quality Technician 1st shift (Contract),Nesco Resource,"Troy, MI (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T31R69N31809T2YTZ,$18.00 - $21.00/Hour,On-site,2024-02-02,2024-02-02,J3T31R69N31809T2YTZ
QA Engineer 3 (Auto),ConsultNet,"Riverton, UT (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R1G16SN548KPCWXWH,$40.00 - $50.00/Hour,On-site,2024-02-02,2024-02-02,J3R1G16SN548KPCWXWH
Senior Full-Stack C#/Angular Engineer,ConsultNet,"Salt Lake City, UT (Onsite)",Contractor,https://www.careerbuilder.com/job/J3W0X96F4S44Q8YM2R8,,On-site,2024-02-02,2024-02-02,J3W0X96F4S44Q8YM2R8
Security Engineer 4,ConsultNet,"Rockville, MD (Onsite)",Contractor,https://www.careerbuilder.com/job/J3W1QT6MFBV3KF2BQ13,,On-site,2024-01-30,2024-02-02,J3W1QT6MFBV3KF2BQ13
Support Engineer,Kforce Technology,"Work From Home, WA (Remote)",Contractor,https://www.careerbuilder.com/job/J3V3J1734D7C6CNGF5Y,$35.00 - $45.00/Hour,Remote,2024-02-02,2024-02-02,J3V3J1734D7C6CNGF5Y
Software Design Engineer,Kforce Technology,"Work From Home, WA (Remote)",Contractor,https://www.careerbuilder.com/job/J3R73P72WYT7W1L2LHW,$50.00 - $68.00/Hour,Remote,2024-02-02,2024-02-02,J3R73P72WYT7W1L2LHW
Data Engineer,Kforce Technology,"Dublin, CA (Hybrid)",Contractor,https://www.careerbuilder.com/job/J3Q3RP64X0KPJ8999HF,$65.00 - $80.00/Hour,Hybrid,2024-02-02,2024-02-02,J3Q3RP64X0KPJ8999HF
"Software Engineer II, Front End",Yoh,"San Diego, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V7Z86HRPRT42X3R9Z,$0.00 - $70.00/Hour,On-site,2024-02-02,2024-02-02,J3V7Z86HRPRT42X3R9Z
DevSecOps Engineer,Yoh,"Mc Kinney, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q84966HS3RFSGWV84,,On-site,2024-02-02,2024-02-02,J3Q84966HS3RFSGWV84
Software Engineer,Yoh,"Sunnyvale, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P3TF71HTLWJQBP1D3,$35.00 - $40.00/Hour,On-site,2024-02-01,2024-02-02,J3P3TF71HTLWJQBP1D3
Service Engineer 3,eXcell,"Redmond, WA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V45S65T09H83MNJDP,$65.00 - $70.00/Hour,On-site,2024-02-02,2024-02-02,J3V45S65T09H83MNJDP
Backend Software Engineer,eXcell,"Sacramento, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P22T749P7V5B9VTQR,$50.00 - $65.00/Hour,On-site,2024-01-26,2024-02-02,J3P22T749P7V5B9VTQR
Junior Data Engineer (SQL),eXcell,"Seattle, WA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P3FL5ZGSJ25Q6ZFYJ,$45.00 - $55.00/Hour,On-site,2024-01-06,2024-02-02,J3P3FL5ZGSJ25Q6ZFYJ
Reprogramming Lab Sustainment Lead Engineer,Butler Aerospace and Defense,"White Settlement, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q00G6Y3SY2FVY9BKB,,On-site,2024-02-02,2024-02-02,J3Q00G6Y3SY2FVY9BKB
Circuit Card Design Engineer,Butler Aerospace and Defense,"Grand Prairie, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q8FM6JQW2C514ZR8P,,On-site,2024-01-27,2024-02-02,J3Q8FM6JQW2C514ZR8P
Reliability Engineer,Butler Aerospace and Defense,"Grand Prairie, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P4MY68CZJ8PQNH171,,On-site,2024-01-26,2024-02-02,J3P4MY68CZJ8PQNH171
Tier III O&M Network Engineer,Innova Solutions,"Denver, Colorado, CO (Onsite)",Contractor,https://www.careerbuilder.com/job/J3M7SS6BBF4Y461QWDY,$55.00 - $65.00/Hour,On-site,2024-01-29,2024-02-02,J3M7SS6BBF4Y461QWDY
Tier III O&M Network Engineer,Innova Solutions,"Chantilly, VA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3S20G60SQW3PMR2Z76,$78.00 - $88.00/Hour,On-site,2024-01-20,2024-02-02,J3S20G60SQW3PMR2Z76
Software Developer (Contract) - Work From Home,Data Annotation,"Washington, DC (Remote)",Contractor,https://www.careerbuilder.com/job/J3R7ZV5W4NH1HPQKLPP,,Remote,2024-02-02,2024-02-02,J3R7ZV5W4NH1HPQKLPP
Software Developer (Contract),Data Annotation,"Washington, DC (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R5HV64W713VX3LMK8,,On-site,2024-02-02,2024-02-02,J3R5HV64W713VX3LMK8
Software Developer (Contract) - Work From Home,Data Annotation,"New York, NY (Remote)",Contractor,https://www.careerbuilder.com/job/J3T83G6DM39RRJY3LB8,,Remote,2024-02-02,2024-02-02,J3T83G6DM39RRJY3LB8
Quality Automation Engineer,Hired by Matrix,"Newark, NJ (Onsite)",Contractor,https://www.careerbuilder.com/job/J3V61M6597Y765GNC35,,On-site,2024-02-01,2024-02-02,J3V61M6597Y765GNC35
R&D Technician,Hired by Matrix,"Valhalla, NY (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R1FD70ZG0RS33ZDFX,$25.00 - $28.00/Hour,On-site,2024-02-01,2024-02-02,J3R1FD70ZG0RS33ZDFX
Mechanical Engineer,TriMech Services LLC,"Florence, KY (Onsite)",Contractor,https://www.careerbuilder.com/job/JDF4RJ6XPPS46D8R3TK,"$75,000 - $105,000/Year",On-site,2024-02-01,2024-02-02,JDF4RJ6XPPS46D8R3TK
Electrical Engineering Manager,TriMech Services LLC,"Florence, KY (Onsite)",Contractor,https://www.careerbuilder.com/job/JD95R868XYDH7DLJ3LR,,On-site,2024-02-01,2024-02-02,JD95R868XYDH7DLJ3LR
Full Stack Developer GCP,Stefanini,"Dearborn, MI (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q24R6TJCX60TLSXG2,$70.00 - $75.00/Hour,On-site,2024-02-01,2024-02-02,J3Q24R6TJCX60TLSXG2
Engineering Technician,Stefanini,"Round Lake, IL (Onsite)",Contractor,https://www.careerbuilder.com/job/J3T1NP6DC9XM4CY04KV,$20.00 - $23.00/Hour,On-site,2024-01-30,2024-02-02,J3T1NP6DC9XM4CY04KV
Automation Test Engineer,Stefanini,"San Francisco, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3N7606X60Y2YMBDR1M,$65.00 - $71.00/Hour,On-site,2024-01-30,2024-02-02,J3N7606X60Y2YMBDR1M
Mechanical Engineer,JobsRUs.com,"Bloomfield, CT (Onsite)",Contractor,https://www.careerbuilder.com/job/J3Q6GX76MFHGYL43H1L,,On-site,2024-02-01,2024-02-02,J3Q6GX76MFHGYL43H1L
Quality Engineer,JobsRUs.com,"Simi Valley, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3R3QB6K0FQ9QR2LVHL,,On-site,2024-01-30,2024-02-02,J3R3QB6K0FQ9QR2LVHL
Quality Technician,JobsRUs.com,"Simi Valley, CA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P6VY77JP9S8TT8NDZ,,On-site,2024-01-26,2024-02-02,J3P6VY77JP9S8TT8NDZ
Risk Analyst_MA10,Sunrise System Inc,"Houston, TX (Onsite)",Contractor,https://www.careerbuilder.com/job/J2Y76T6ZB4NRNG6DBHR,,On-site,2024-01-23,2024-02-02,J2Y76T6ZB4NRNG6DBHR
Analyst Assistant,"Beacon Hill Staffing Group, LLC","Boston, MA (Onsite)",Contractor,https://www.careerbuilder.com/job/J3P012789920FN13SRF,,On-site,2024-01-26,2024-02-02,J3P012789920FN13SRF
